数据库：分省年度数据
指标：人均地区生产总值(元/人)
时间：2009-2022
地区,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
北京市,189988,187526,164158,161776,150962,136172,123391,113692,106732,100569,92758,86246,78307,71059
天津市,117925,113660,101068,101557,95689,87280,79647,75868,74960,71345,66517,61458,54053,47497
河北省,56481,54181,48302,47036,43808,41451,38688,35994,34507,33346,31844,29647,25308,21831
山西省,73506,65625,51051,48469,45517,41242,33972,33593,34248,33848,32864,30534,25434,20906
内蒙古自治区,97433,88137,71640,71170,66491,61196,56560,52972,49585,46320,42441,38276,33262,28982
辽宁省,68422,64992,58629,58019,54657,50221,47069,46482,45915,43956,40778,37353,31888,29611
吉林省,54279,55148,50561,47554,44925,42890,40259,38128,37539,35139,32005,28270,23370,19858
黑龙江省,50873,47199,42432,41156,38199,35887,34025,32759,33464,32068,29352,26093,21694,18871
上海市,180536,175420,156803,153299,145767,133489,121369,109186,102827,95746,89613,85897,79396,72363
江苏省,143466,138255,121333,116650,110508,102202,92658,85871,78711,72768,66533,61464,52787,44272
浙江省,119022,113839,100738,98770,93230,85612,78384,73276,68569,65105,61097,57828,51110,43543
安徽省,72888,69676,62411,60561,56063,49092,43686,39692,37580,34404,30697,27303,21923,17715
福建省,123618,118750,105106,102722,94719,83758,74024,67649,63709,58255,52959,47928,40773,33999
江西省,69019,66020,57065,54640,50347,44878,40950,37436,34988,31952,28624,25928,21099,17277
山东省,86143,81510,71825,69901,66284,62993,59239,56205,51933,48673,44348,40581,35599,31282
河南省,58942,58587,54691,54356,50714,45723,41326,38338,35982,33114,30497,27901,23984,20280
湖北省,90358,86551,73687,76712,71097,63169,56844,52021,48635,43835,39149,34719,28359,23081
湖南省,71917,68913,62537,60104,54763,51030,46606,43155,39181,35702,32203,28766,24005,19979
广东省,102217,98561,88521,86956,81625,76218,69671,64516,59909,56029,52308,50076,44669,39418
广西壮族自治区,51936,50137,44237,42778,39837,36441,33340,30890,28603,26416,24181,22234,18070,14708
海南省,67314,63991,55438,53929,50263,46631,43009,39704,37166,34053,30993,28014,23323,18860
重庆市,88953,87450,78294,74337,68460,64171,58327,52480,48311,43527,39180,34864,28084,23346
四川省,67610,64610,58009,55619,51658,45835,40297,37150,35563,32750,29627,26136,21230,17387
贵州省,51921,50476,46355,43727,40271,35988,31589,28547,25101,22089,18947,16024,12882,10814
云南省,60868,57717,52047,49323,44446,39458,35051,32117,30217,27665,23992,20653,16866,14427
西藏自治区,58908,56831,52280,47491,44051,39158,35015,31847,29275,26209,22762,20083,17209,15154
陕西省,83030,76171,65867,65506,61115,55216,49341,46654,45610,41906,37453,32467,26388,21485
甘肃省,44646,40976,35848,34707,32178,29103,27396,25946,25724,23647,21141,18846,15421,12802
青海省,60946,57036,50845,49976,46854,42211,38968,34883,32218,30005,26839,24233,20418,16907
宁夏回族自治区,70263,63461,55021,52537,49614,45718,40339,37876,36815,35135,32609,30161,24984,20382
新疆维吾尔自治区,69717,62991,53606,53542,51238,45476,40020,39520,40193,36988,33103,29624,24700,19755
数据来源：国家统计局
