数据库：分省年度数据
指标：地方财政一般公共服务支出(亿元)
时间：2009-2022
地区,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
北京市,589.25,532.65,527.10,499.43,512.40,493.24,367.20,300.12,272.23,297.12,286.57,261.38,239.57,212.21
天津市,215.89,234.40,220.66,225.87,231.06,209.02,192.20,178.30,158.08,144.73,136.55,117.81,98.07,110.59
河北省,882.71,819.68,784.82,792.63,712.40,633.18,551.81,503.32,476.59,524.14,481.97,414.93,358.13,346.49
山西省,508.40,453.28,423.63,391.65,362.60,314.07,266.28,245.51,237.94,284.13,274.47,251.58,215.83,247.94
内蒙古自治区,470.74,396.10,396.71,365.44,355.98,349.10,324.69,299.14,297.55,338.10,341.83,304.53,254.53,295.22
辽宁省,493.38,453.78,452.31,451.13,423.03,386.04,370.92,356.51,436.29,501.34,485.71,415.23,352.40,329.16
吉林省,327.96,318.75,321.44,302.52,308.88,294.50,260.91,247.13,253.50,267.31,249.38,231.40,198.04,182.67
黑龙江省,388.60,323.93,321.04,301.00,307.61,279.08,266.70,242.67,256.20,278.80,271.26,256.37,222.57,229.31
上海市,452.60,382.43,371.01,365.08,367.16,320.70,302.09,259.84,248.84,260.10,251.47,236.11,226.02,206.68
江苏省,1315.41,1304.63,1233.45,1210.99,1124.06,1022.75,920.93,845.68,856.70,859.41,820.43,748.45,631.24,568.48
浙江省,1162.01,1105.31,1051.55,1009.96,875.33,765.03,660.26,584.45,527.74,538.88,503.61,471.55,434.29,397.69
安徽省,585.31,522.57,515.12,566.85,506.13,453.28,404.09,400.09,408.15,469.15,425.96,345.34,273.72,267.50
福建省,490.33,449.93,467.52,458.78,429.47,380.84,338.21,308.02,293.40,327.06,293.15,247.47,211.91,203.82
江西省,590.02,540.62,558.28,596.37,525.27,477.17,416.59,410.83,361.36,337.01,308.16,258.00,218.75,193.42
山东省,1209.32,1136.11,1118.07,1061.95,943.35,857.51,783.56,738.11,725.33,749.96,705.51,618.48,544.31,490.14
河南省,1094.67,995.38,1061.53,1097.40,972.55,850.29,750.94,695.32,700.71,733.21,663.07,559.02,478.69,459.01
湖北省,794.57,737.30,772.33,795.05,739.21,688.85,639.60,618.14,598.45,546.49,466.51,394.95,314.93,308.40
湖南省,841.91,820.29,861.15,850.66,797.30,747.05,675.95,634.17,627.24,628.45,550.26,466.74,367.20,336.07
广东省,1773.74,1828.89,1889.53,1855.32,1556.29,1355.60,1147.35,1018.91,959.44,996.45,892.62,807.41,685.39,625.26
广西壮族自治区,454.80,501.24,520.48,592.36,527.25,455.35,450.78,395.30,405.99,413.20,386.37,322.18,268.76,237.08
海南省,162.37,157.21,159.90,148.70,139.49,122.13,129.48,113.32,111.40,115.40,98.53,82.02,62.44,55.65
重庆市,341.09,357.61,330.27,347.25,322.02,304.55,285.54,270.17,288.27,276.40,251.31,224.58,168.49,156.90
四川省,1038.78,976.81,947.62,955.62,897.00,793.30,682.78,622.22,575.67,610.86,554.38,485.11,407.31,391.49
贵州省,442.30,485.12,497.36,573.06,496.47,464.83,446.11,428.61,422.49,488.78,430.16,307.21,212.69,196.78
云南省,537.47,563.76,604.15,650.86,643.28,609.83,476.98,388.51,399.48,394.77,338.16,282.05,246.50,237.22
西藏自治区,310.63,283.72,294.60,286.90,283.04,243.55,228.03,205.92,164.09,180.53,150.36,95.94,72.35,85.72
陕西省,607.89,543.87,528.47,528.96,490.33,417.34,364.86,359.36,366.32,414.29,407.11,341.32,287.29,261.55
甘肃省,397.34,359.63,382.17,373.62,339.05,307.23,290.79,272.01,300.48,278.60,229.50,174.92,145.75,150.07
青海省,133.99,140.41,141.39,131.51,132.58,123.85,121.42,117.33,100.57,97.50,82.66,65.40,55.20,54.88
宁夏回族自治区,98.34,90.23,98.21,97.03,91.31,86.15,75.79,67.09,61.68,64.15,61.44,51.96,51.77,46.97
新疆维吾尔自治区,589.01,491.90,474.02,475.57,459.11,433.47,388.53,366.41,324.88,337.37,303.67,245.36,195.57,195.64
数据来源：国家统计局
