数据库：分省年度数据
指标：地方财政文化体育与传媒支出(亿元)
时间：2009-2022
地区,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
北京市,204.95,220.06,225.11,279.32,245.43,208.96,198.35,188.50,163.90,154.71,141.37,87.01,79.36,74.75
天津市,29.78,36.97,34.01,46.41,52.92,57.94,57.16,51.73,47.87,44.53,35.85,29.76,24.28,19.81
河北省,142.15,127.08,163.73,158.00,115.17,103.19,87.54,88.34,82.66,72.71,59.29,50.45,37.09,38.02
山西省,107.98,97.04,112.31,112.24,92.85,71.92,72.64,73.08,63.95,66.69,60.20,48.17,31.24,27.97
内蒙古自治区,108.38,107.33,123.64,119.34,109.27,116.79,89.25,95.81,91.90,88.05,87.21,68.78,52.96,47.33
辽宁省,89.06,84.36,89.73,85.98,71.59,86.44,84.70,88.59,92.60,95.34,79.25,68.60,56.76,76.25
吉林省,58.07,61.08,71.92,71.75,70.24,70.69,72.03,73.01,61.16,56.55,47.48,44.25,32.93,29.36
黑龙江省,60.30,55.42,58.37,54.70,46.20,53.56,53.21,53.17,45.63,52.37,47.27,44.94,39.50,33.46
上海市,162.18,156.42,161.26,179.87,186.52,191.32,113.34,108.22,86.38,89.17,72.51,68.80,54.95,53.12
江苏省,246.78,271.01,311.68,264.53,197.22,194.37,193.28,196.06,190.86,173.54,150.90,116.86,88.67,77.18
浙江省,269.28,249.35,229.62,203.26,174.59,159.66,158.72,165.38,115.36,106.00,94.18,85.09,77.15,64.09
安徽省,86.64,86.10,97.06,87.98,79.77,80.94,84.23,88.19,82.25,79.50,71.43,62.35,51.68,42.14
福建省,117.35,104.82,112.88,104.00,84.73,87.34,81.26,84.82,64.18,57.88,46.07,35.86,27.10,25.77
江西省,123.37,117.32,120.35,87.60,79.10,74.65,70.49,68.90,60.03,52.62,44.77,39.66,28.38,22.93
山东省,167.47,180.36,170.11,189.50,153.52,141.90,137.47,137.26,127.75,127.53,114.27,91.57,74.03,70.40
河南省,130.22,122.01,140.93,127.87,103.04,97.52,97.33,105.38,91.16,80.78,69.63,57.54,54.99,58.67
湖北省,131.06,131.37,146.52,148.53,113.15,95.26,96.61,84.03,76.65,72.44,62.47,47.09,36.67,36.03
湖南省,136.98,134.98,139.87,144.83,134.54,148.83,140.68,111.74,80.01,68.95,54.50,44.87,39.66,33.08
广东省,350.19,395.59,417.22,350.33,321.84,285.87,229.71,194.58,168.16,141.68,137.64,170.56,166.16,111.50
广西壮族自治区,81.36,88.51,109.49,76.33,63.59,64.36,71.08,79.00,68.52,49.85,45.52,37.48,32.77,29.27
海南省,38.66,37.74,53.22,56.34,47.37,29.86,26.90,25.48,23.51,21.90,19.85,16.60,11.61,9.75
重庆市,61.05,64.23,64.89,55.24,49.31,48.89,47.98,47.01,36.02,34.94,33.08,31.16,24.04,19.04
四川省,202.18,210.47,229.27,196.48,154.91,142.46,145.20,139.41,135.65,142.40,120.70,87.35,59.37,45.70
贵州省,123.58,117.08,72.76,68.76,60.80,64.73,67.34,61.20,54.69,48.68,49.85,35.31,23.98,23.62
云南省,78.40,77.57,93.08,77.90,72.20,71.30,77.93,61.66,56.21,61.35,62.06,45.34,35.53,32.38
西藏自治区,45.01,46.56,59.43,57.55,46.02,44.93,34.85,34.73,34.10,22.51,24.18,18.91,12.48,13.36
陕西省,137.13,161.76,140.57,127.58,126.11,121.95,125.85,103.09,93.23,100.44,91.81,61.27,47.86,40.89
甘肃省,84.70,82.71,88.43,84.85,72.52,64.59,63.84,62.76,49.60,59.76,49.87,33.07,29.78,24.50
青海省,37.96,36.99,45.93,42.39,35.49,37.58,33.32,33.60,34.16,25.84,18.92,14.32,11.57,15.58
宁夏回族自治区,25.76,24.39,29.43,25.85,23.33,22.82,25.23,20.97,16.02,16.60,14.44,13.94,16.09,9.03
新疆维吾尔自治区,102.02,87.44,82.50,92.14,73.39,80.40,77.61,78.96,74.32,74.63,68.23,47.70,33.92,33.34
数据来源：国家统计局
