数据库：分省年度数据
指标：地方财政社会保障和就业支出(亿元)
时间：2009-2022
地区,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
北京市,1067.80,1054.19,1055.86,972.98,835.65,795.38,716.20,700.48,509.01,469.13,424.31,354.88,275.90,234.29
天津市,546.38,597.96,518.88,550.98,505.46,459.58,377.92,314.77,259.56,229.28,201.17,168.34,137.74,115.90
河北省,1617.71,1405.03,1412.67,1227.95,1137.84,976.88,839.27,763.68,585.62,528.62,470.21,426.23,358.78,317.42
山西省,999.26,886.50,810.20,711.34,671.65,646.63,542.28,533.45,450.72,419.02,354.61,321.60,274.46,236.94
内蒙古自治区,985.15,874.77,854.83,726.52,707.20,704.14,642.54,605.26,531.76,491.01,435.47,363.97,292.44,274.97
辽宁省,1814.11,1649.57,1658.63,1441.30,1463.57,1340.54,1145.49,995.10,895.91,824.03,727.71,657.36,579.84,518.07
吉林省,896.88,784.24,818.75,687.78,634.10,550.80,497.59,462.28,390.20,360.19,304.00,298.99,253.36,250.44
黑龙江省,1425.63,1329.89,1350.85,1113.27,1024.09,928.55,732.41,728.73,602.68,542.33,458.20,392.05,306.06,339.64
上海市,1120.47,1023.96,980.56,999.77,933.38,1061.03,988.81,543.16,498.13,468.01,443.01,417.50,362.56,336.08
江苏省,1946.82,1891.50,1779.31,1416.00,1316.55,1043.40,897.93,838.06,709.59,631.15,557.77,481.65,364.48,299.17
浙江省,1400.55,1286.13,1130.02,1073.94,914.93,801.78,631.19,541.70,435.54,397.06,345.44,291.82,206.39,153.08
安徽省,1427.13,1229.58,1173.07,1084.06,954.67,862.53,761.59,691.54,575.82,533.64,459.19,392.98,334.15,303.96
福建省,717.23,592.50,572.34,507.89,468.15,394.56,348.99,341.77,258.71,240.66,205.28,184.92,148.24,132.85
江西省,1022.85,892.12,865.65,817.76,761.06,663.93,582.23,510.18,422.35,378.84,323.06,272.75,233.02,219.34
山东省,1964.44,1863.39,1657.53,1444.63,1253.99,1131.96,992.66,904.64,763.53,681.98,596.48,501.54,416.77,342.79
河南省,1791.76,1560.44,1575.03,1457.14,1298.45,1160.23,1067.40,945.83,790.87,731.41,631.61,547.96,461.22,403.62
湖北省,1556.90,1517.49,1419.11,1267.01,1172.00,1092.30,978.82,858.70,717.63,605.70,501.13,449.29,368.42,343.98
湖南省,1441.66,1312.65,1300.22,1160.33,1095.57,1017.90,874.41,781.79,661.97,625.94,525.71,484.44,396.40,360.75
广东省,2153.96,2131.89,1807.20,1703.48,1508.02,1423.33,1146.31,1064.91,797.01,746.97,611.04,548.65,469.58,401.50
广西壮族自治区,986.43,923.05,918.25,816.76,769.70,678.65,538.95,460.63,387.18,348.12,282.33,250.64,217.07,203.69
海南省,282.65,260.42,252.93,221.91,208.87,183.08,184.01,174.77,142.52,115.88,106.15,94.04,73.80,79.20
重庆市,1022.79,1019.58,950.77,880.03,772.13,702.82,640.55,569.63,502.94,431.89,403.05,338.76,236.98,234.62
四川省,2237.62,2165.82,1998.67,1762.30,1644.17,1501.35,1320.17,1111.75,927.01,833.51,680.21,645.79,513.65,455.91
贵州省,738.46,688.64,678.48,589.03,537.71,498.74,367.23,340.33,299.72,264.52,235.40,194.78,140.76,150.04
云南省,1037.70,997.63,978.77,915.00,846.23,750.33,692.38,648.69,584.08,505.45,439.06,386.50,304.69,304.10
西藏自治区,216.84,194.02,184.74,155.78,107.92,155.86,208.47,103.00,85.98,72.94,65.54,57.68,31.91,33.35
陕西省,1071.27,957.51,994.13,853.54,793.86,718.22,655.48,631.99,541.40,497.75,421.16,365.43,315.61,287.10
甘肃省,641.23,590.11,580.95,529.14,504.77,468.16,464.81,421.31,376.22,346.77,294.64,279.22,215.09,199.75
青海省,332.80,312.60,317.96,267.71,230.80,209.57,196.17,189.34,148.01,162.01,179.51,163.57,189.50,94.14
宁夏回族自治区,275.90,229.33,206.45,185.54,175.99,162.32,164.24,146.23,116.43,102.77,89.60,71.95,35.03,47.68
新疆维吾尔自治区,1035.55,678.48,645.73,606.72,579.06,526.00,504.37,371.90,300.85,263.17,227.79,201.64,166.40,177.49
数据来源：国家统计局
