数据库：分省年度数据
指标：地方财政环境保护支出(亿元)
时间：2009-2022
地区,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
北京市,222.90,249.24,236.90,308.81,399.45,458.44,363.38,303.26,213.36,138.17,113.54,94.51,60.85,54.05
天津市,29.06,47.14,60.72,242.29,66.46,110.22,65.63,73.10,57.93,48.44,38.49,32.24,27.10,13.36
河北省,318.63,351.65,509.27,502.50,433.55,353.45,262.80,282.72,193.43,171.86,127.93,105.48,115.16,104.20
山西省,241.18,214.79,260.28,226.15,170.29,128.87,115.54,99.46,95.26,98.16,88.17,82.18,82.37,70.61
内蒙古自治区,141.56,143.87,149.37,154.48,162.72,143.67,159.39,175.25,142.75,132.11,131.59,117.55,107.99,97.90
辽宁省,75.21,80.39,97.94,129.73,94.21,106.53,87.24,116.79,106.10,108.59,93.27,74.20,77.44,55.71
吉林省,106.07,112.27,131.53,147.97,120.79,115.12,122.14,117.70,140.30,126.83,113.85,102.42,71.55,49.48
黑龙江省,159.15,140.54,220.27,211.06,154.09,193.20,113.44,155.52,111.57,115.75,104.86,92.27,89.00,59.07
上海市,203.81,159.30,181.88,184.07,233.39,224.66,134.41,104.35,77.32,56.43,55.18,51.62,47.31,33.96
江苏省,279.20,336.80,336.90,372.77,317.99,292.10,285.11,308.45,237.78,229.18,193.83,170.37,139.89,147.60
浙江省,223.16,203.56,220.59,269.55,194.75,190.15,161.40,167.89,120.65,98.14,77.70,78.11,82.07,55.42
安徽省,200.69,199.45,190.83,312.12,209.32,198.64,133.64,124.83,104.76,108.42,95.52,81.96,64.72,59.27
福建省,122.62,139.97,156.42,179.55,124.04,120.65,130.35,95.57,61.80,58.60,48.60,37.95,39.79,33.83
江西省,237.63,229.59,218.27,194.28,162.55,143.40,117.88,87.43,68.13,74.17,66.91,43.76,49.14,43.14
山东省,218.10,266.79,291.54,306.50,287.20,236.84,239.28,217.08,166.67,212.81,154.42,113.95,112.93,76.17
河南省,183.19,210.41,272.63,352.29,358.70,241.65,195.72,177.77,119.95,111.92,109.45,95.60,96.38,92.98
湖北省,169.22,167.10,219.18,282.13,211.30,139.71,145.64,145.84,103.78,109.72,95.63,101.11,96.31,74.15
湖南省,166.55,194.62,245.58,242.68,190.89,173.28,170.85,149.00,137.49,128.67,109.43,85.26,90.82,73.63
广东省,464.89,493.55,517.76,747.44,567.41,433.23,297.45,322.33,259.04,307.78,235.44,232.62,239.16,100.80
广西壮族自治区,90.81,83.50,100.74,99.84,79.45,85.11,90.70,98.68,84.00,64.23,60.01,53.90,63.99,49.92
海南省,50.73,50.55,57.84,64.98,61.24,35.72,37.31,31.54,23.28,23.18,21.23,23.97,14.89,18.51
重庆市,175.98,163.75,179.71,172.95,160.19,154.95,136.20,140.73,105.51,114.55,128.69,100.81,69.01,50.05
四川省,237.58,218.55,264.02,267.01,226.90,197.75,166.35,169.31,168.69,159.95,135.94,115.80,112.99,114.47
贵州省,118.00,158.74,146.15,188.53,134.38,125.39,127.09,96.49,85.34,66.44,65.73,55.45,54.32,55.31
云南省,146.95,136.10,163.97,205.16,169.81,179.48,150.13,134.08,108.88,105.29,101.12,95.86,86.41,82.16
西藏自治区,39.19,27.45,48.93,40.91,44.93,46.64,33.05,56.83,29.23,17.21,23.67,16.05,11.77,9.75
陕西省,232.01,176.25,190.34,245.48,176.02,162.52,126.79,150.77,112.51,109.77,94.14,96.13,82.88,79.50
甘肃省,113.21,82.10,114.03,106.52,127.82,102.20,95.25,95.35,73.21,69.82,72.00,84.99,68.31,53.15
青海省,85.36,72.17,73.51,69.38,63.51,60.93,73.41,87.36,56.73,66.78,43.99,41.76,36.15,28.98
宁夏回族自治区,58.20,47.71,49.48,54.04,72.38,57.61,36.69,45.49,34.60,32.93,35.37,35.23,30.79,22.59
新疆维吾尔自治区,124.99,93.48,82.59,87.86,94.33,54.66,65.07,71.51,70.86,68.99,64.12,53.67,51.02,36.42
数据来源：国家统计局
