数据库：分省年度数据
指标：地方财政农林水事务支出(亿元)
时间：2009-2022
地区,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
北京市,462.79,497.87,497.33,584.62,576.04,518.35,443.55,424.78,343.67,297.62,222.69,187.34,158.64,142.01
天津市,110.30,148.01,154.82,161.51,165.71,158.36,161.02,156.08,134.91,123.03,100.98,91.78,67.14,63.69
河北省,872.14,924.79,988.74,978.27,906.27,782.91,800.79,712.49,583.52,511.11,443.62,366.10,312.66,264.78
山西省,576.87,514.23,653.68,626.04,581.34,477.91,432.02,394.46,327.85,339.69,309.63,241.45,201.71,198.47
内蒙古自治区,912.44,818.84,867.59,874.73,903.96,807.71,729.02,675.58,517.69,466.58,450.83,391.68,281.00,222.36
辽宁省,463.34,409.44,504.83,502.57,461.74,459.23,480.73,446.07,443.85,466.52,405.02,329.20,289.00,240.71
吉林省,515.49,462.32,577.76,564.35,537.55,554.77,550.50,408.61,308.68,318.26,291.30,255.57,238.94,204.45
黑龙江省,937.59,868.98,914.53,881.99,834.47,815.16,801.77,681.48,487.67,461.70,430.39,355.98,338.06,192.42
上海市,388.62,455.77,473.80,523.10,469.88,456.53,327.41,267.37,202.34,187.25,217.97,161.54,151.93,107.45
江苏省,1108.36,1106.20,1091.25,1032.37,996.67,918.22,985.62,1008.60,899.31,868.34,754.09,618.13,489.16,403.27
浙江省,831.20,795.27,764.89,744.24,724.46,696.69,722.41,739.08,524.59,513.03,408.20,373.32,290.37,236.08
安徽省,991.88,942.55,924.29,736.27,704.86,681.91,624.83,577.74,502.69,478.17,430.47,351.87,292.52,259.21
福建省,410.37,366.61,450.05,442.06,431.51,447.70,410.58,441.86,320.32,312.22,244.16,207.89,160.34,120.89
江西省,788.48,762.26,740.31,619.80,599.41,607.71,580.90,557.30,500.15,438.54,384.77,287.99,232.34,203.41
山东省,1118.86,1026.95,1065.29,1075.98,998.50,953.59,943.44,964.42,772.84,748.14,673.82,564.00,465.98,369.35
河南省,1110.48,1015.22,1145.40,1059.70,1001.08,916.81,807.06,791.63,661.94,629.85,551.73,480.48,399.19,361.60
湖北省,924.84,841.65,868.90,828.21,785.55,714.73,704.59,616.57,483.80,465.34,419.02,376.23,305.44,254.92
湖南省,995.44,949.01,987.71,978.68,925.57,782.42,729.75,676.24,557.59,516.55,447.74,394.26,322.65,276.29
广东省,1067.57,1109.47,1125.81,957.68,909.78,754.40,715.44,811.90,557.59,595.28,539.56,420.34,325.02,279.21
广西壮族自治区,737.07,757.80,904.38,747.21,656.58,646.87,573.48,497.53,391.29,371.90,369.07,314.86,260.26,210.74
海南省,265.65,260.72,268.57,251.40,227.71,198.42,179.04,164.24,146.30,139.03,123.62,105.63,87.68,83.08
重庆市,393.85,406.26,416.76,389.53,366.77,347.57,347.99,331.33,291.62,281.94,256.35,198.91,159.18,125.42
四川省,1359.32,1330.10,1339.36,1288.42,1310.89,1023.13,988.71,926.65,826.59,741.78,654.95,545.70,401.76,322.76
贵州省,692.15,730.74,1024.31,998.90,664.84,612.05,629.38,534.26,447.19,400.31,361.87,278.47,246.76,204.13
云南省,888.43,919.74,1100.13,1117.20,842.20,674.82,712.92,641.52,594.45,538.97,518.60,409.80,327.21,267.28
西藏自治区,371.87,340.54,415.44,445.01,364.64,238.09,243.28,200.27,169.24,148.79,142.62,126.53,89.11,84.71
陕西省,733.21,694.26,742.25,684.18,626.79,545.40,543.30,520.58,445.97,419.62,376.45,333.79,267.16,220.72
甘肃省,751.51,737.04,775.83,716.76,678.35,520.79,488.10,497.05,366.17,346.58,302.37,237.66,196.27,158.95
青海省,275.13,251.05,279.80,324.09,267.85,233.12,232.35,204.41,190.04,159.69,134.31,104.74,69.50,57.85
宁夏回族自治区,244.88,242.37,253.45,218.16,219.06,222.39,201.29,166.27,157.05,149.38,139.80,112.19,94.23,68.68
新疆维吾尔自治区,950.09,849.55,1127.88,977.41,753.25,612.49,717.02,605.34,477.27,387.42,365.39,297.59,220.50,196.78
数据来源：国家统计局
