数据库：分省年度数据
指标：地方财政教育支出(亿元)
时间：2009-2022
地区,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
北京市,1171.12,1147.83,1138.29,1137.18,1025.51,964.62,887.37,855.67,742.05,681.18,628.65,520.08,450.22,365.67
天津市,478.94,479.25,442.91,467.63,448.19,434.59,502.49,507.44,517.01,461.36,378.75,302.32,229.56,173.61
河北省,1771.15,1628.81,1596.26,1537.09,1385.59,1276.55,1134.90,1041.16,868.87,837.63,865.54,652.11,514.30,439.33
山西省,861.35,778.00,733.36,696.28,668.03,620.67,606.97,602.85,507.28,542.44,558.03,421.79,328.58,278.07
内蒙古自治区,692.38,641.29,642.17,609.97,576.33,561.85,554.97,536.53,477.77,456.87,439.97,390.69,322.11,243.48
辽宁省,745.91,703.64,741.15,702.38,653.88,648.06,633.96,610.24,604.49,669.48,728.79,544.09,405.39,346.73
吉林省,497.82,486.96,526.69,500.53,513.82,508.09,499.70,477.57,407.10,422.09,451.05,319.82,250.20,216.99
黑龙江省,594.39,570.95,562.42,555.13,544.38,573.11,558.87,549.66,505.94,501.28,544.79,373.83,299.14,266.61
上海市,1122.57,1039.47,1000.59,995.70,917.99,874.10,840.97,767.32,695.63,679.54,648.95,549.24,417.28,346.95
江苏省,2598.05,2563.41,2406.53,2213.84,2055.56,1979.57,1842.94,1746.22,1504.86,1434.99,1350.61,1093.22,865.36,680.63
浙江省,2197.26,2039.52,1881.09,1764.69,1572.47,1430.15,1300.03,1264.93,1030.99,950.07,877.86,751.42,606.54,519.33
安徽省,1420.87,1315.66,1261.86,1222.21,1113.26,1014.91,910.87,856.73,743.07,736.59,717.94,564.71,386.31,323.79
福建省,1217.26,1079.81,1031.57,968.54,925.06,842.21,789.11,757.51,634.60,574.91,562.30,406.73,327.77,277.55
江西省,1320.01,1249.10,1223.59,1148.50,1054.41,940.57,848.88,793.27,711.72,664.53,622.06,474.43,297.50,251.93
山东省,2626.48,2411.09,2283.84,2156.14,2006.50,1890.00,1825.99,1690.62,1461.05,1399.67,1311.80,1047.90,770.45,613.49
河南省,1895.57,1786.41,1882.56,1810.71,1664.67,1493.11,1343.76,1271.00,1201.38,1171.52,1106.51,857.14,609.37,526.14
湖北省,1279.08,1201.93,1192.02,1147.10,1065.64,1101.35,1047.37,913.05,773.35,690.63,732.37,488.16,366.57,317.29
湖南省,1500.39,1373.63,1325.25,1270.02,1186.72,1115.33,1032.37,928.54,833.27,809.45,807.58,540.83,403.10,357.58
广东省,3871.14,3796.69,3510.56,3210.51,2792.90,2575.52,2318.47,2040.65,1808.97,1744.59,1501.22,1227.87,921.48,803.20
广西壮族自治区,1141.72,1094.08,1061.10,1014.52,933.22,920.20,854.55,789.69,660.53,609.93,589.24,456.89,366.84,296.60
海南省,313.91,295.10,295.84,273.50,248.98,220.87,214.24,206.84,175.95,174.57,158.79,127.27,98.33,74.50
重庆市,822.17,794.95,754.97,728.26,680.99,626.30,575.18,536.24,469.98,437.28,471.49,318.70,240.46,190.28
四川省,1865.04,1733.04,1686.16,1578.88,1461.78,1389.20,1301.85,1252.33,1056.91,1036.41,993.20,684.66,540.65,451.44
贵州省,1155.33,1129.35,1073.34,1067.62,985.95,901.96,843.54,772.91,637.03,560.67,500.51,376.86,292.06,256.72
云南省,1164.89,1143.30,1162.02,1069.85,1077.43,998.33,871.14,767.46,674.94,685.97,674.82,483.00,374.79,308.18
西藏自治区,316.67,259.13,273.89,263.26,232.15,227.20,169.64,167.27,142.08,107.18,94.48,77.81,60.80,61.04
陕西省,1060.38,1025.00,998.58,951.23,871.44,828.25,777.53,758.07,693.83,710.11,703.34,529.46,377.79,310.96
甘肃省,699.58,661.92,662.99,636.05,592.96,567.35,548.95,498.33,401.26,377.06,367.92,284.33,228.23,206.36
青海省,220.95,221.21,218.14,221.37,199.10,187.51,171.36,163.19,156.31,121.51,171.81,130.11,82.47,61.82
宁夏回族自治区,212.35,200.01,208.42,179.33,170.47,170.65,152.57,142.51,122.68,112.95,106.45,103.02,81.59,63.50
新疆维吾尔自治区,1088.62,927.96,908.11,863.07,812.88,722.59,664.52,647.93,567.20,532.67,473.86,399.80,313.84,240.15
数据来源：国家统计局
