数据库：分省年度数据
指标：地方财政城乡社区事务支出(亿元)
时间：2009-2022
地区,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
北京市,808.60,860.00,872.94,1074.61,1246.22,1034.14,1120.37,995.39,567.40,510.67,430.76,339.27,294.30,347.82
天津市,272.22,459.59,543.72,797.47,561.44,882.35,1146.48,922.16,823.70,723.03,590.26,485.42,355.29,261.07
河北省,1069.33,882.98,857.35,707.20,668.09,455.35,555.70,476.59,367.83,321.28,283.51,239.37,178.75,149.57
山西省,633.62,436.66,477.16,483.59,370.52,281.91,256.70,255.47,219.05,186.08,160.45,142.33,111.57,85.31
内蒙古自治区,585.49,496.84,487.93,541.22,414.92,340.12,592.33,560.20,540.30,480.22,363.24,301.40,237.75,210.03
辽宁省,514.77,532.60,558.67,546.42,462.51,409.64,392.74,494.34,849.50,807.26,595.19,442.58,360.31,289.66
吉林省,304.86,297.50,366.59,330.08,375.17,394.45,383.35,341.86,273.29,214.22,166.29,154.17,108.90,82.58
黑龙江省,293.84,295.19,444.84,555.79,415.70,456.70,387.08,350.52,332.11,301.07,205.60,179.71,141.13,104.17
上海市,1425.24,1431.04,1419.49,1634.92,2091.13,1531.42,1588.04,1173.88,801.29,712.92,627.44,579.29,475.47,602.36
江苏省,1696.50,1757.05,1818.13,1697.55,1599.60,1500.54,1440.12,1535.59,1221.64,1006.80,858.13,812.06,624.53,474.93
浙江省,1099.30,1159.89,1021.67,1627.68,1158.88,910.17,788.93,541.21,389.01,332.93,307.82,338.43,272.30,224.61
安徽省,769.04,858.00,860.18,1156.75,998.56,1013.80,669.06,609.65,558.55,459.80,348.03,280.76,236.18,165.85
福建省,431.26,410.50,422.41,558.87,623.52,728.08,572.24,378.70,269.74,259.78,178.86,146.24,107.68,78.44
江西省,726.06,669.53,728.41,1046.38,676.15,516.06,380.12,331.44,226.81,201.21,176.70,125.34,102.47,79.71
山东省,992.34,1087.33,1053.86,1070.25,1109.72,1075.92,1012.46,920.57,777.92,618.50,468.09,401.70,388.40,311.93
河南省,865.99,978.22,1063.83,1381.48,1152.43,1122.67,879.33,645.21,431.74,309.12,237.97,191.30,165.30,130.89
湖北省,750.67,745.77,743.36,924.62,848.56,693.61,588.48,545.16,364.31,320.36,201.73,161.33,119.63,112.34
湖南省,1005.55,877.55,785.71,952.34,787.31,716.54,640.66,551.26,463.96,388.27,302.21,276.00,186.98,144.05
广东省,1429.03,1556.64,1574.89,2413.84,2083.14,2180.53,1515.29,1174.16,770.11,664.77,623.28,518.16,407.64,358.63
广西壮族自治区,311.84,356.43,419.33,835.09,648.84,529.69,364.99,317.52,269.34,212.33,162.07,118.73,103.87,104.08
海南省,201.57,184.94,178.93,153.71,149.81,119.92,116.38,83.03,72.97,61.51,52.22,39.57,36.81,28.90
重庆市,384.47,435.64,511.04,800.09,766.54,815.64,684.56,627.82,577.79,536.08,500.39,394.46,251.26,177.08
四川省,736.42,647.62,711.17,893.64,698.87,724.79,550.93,514.08,528.13,381.81,325.98,268.56,179.19,154.05
贵州省,254.49,260.03,209.70,439.93,246.21,198.82,131.91,127.71,101.29,109.46,100.65,65.52,53.00,43.74
云南省,260.65,348.52,363.78,554.02,439.78,464.75,216.49,183.62,182.22,174.51,148.84,122.96,86.66,75.78
西藏自治区,116.29,106.82,125.28,117.03,105.26,165.99,142.07,93.34,67.12,56.48,31.55,21.66,20.51,19.12
陕西省,554.63,471.07,497.58,634.68,537.90,477.73,433.15,406.01,330.57,259.42,182.05,147.13,126.84,97.07
甘肃省,199.17,194.87,206.35,220.71,170.39,166.90,196.45,121.61,78.75,73.19,80.52,65.88,56.82,45.47
青海省,124.65,98.00,128.93,158.26,114.32,137.00,119.74,128.45,95.04,86.62,57.98,27.98,30.60,22.93
宁夏回族自治区,117.47,113.79,121.91,185.48,198.49,187.00,182.14,145.96,104.07,133.79,109.63,81.51,61.89,42.56
新疆维吾尔自治区,486.64,356.09,293.55,309.94,317.81,329.30,326.57,323.04,286.76,243.05,183.49,140.10,95.28,79.03
数据来源：国家统计局
