数据库：分省年度数据
指标：第二产业增加值(亿元)
时间：2009-2022
地区,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
北京市,6635.6,7389.0,5739.1,5667.4,5477.4,5049.4,4665.8,4419.8,4433.0,4168.3,3856.0,3563.3,3233.1,2736.4
天津市,5982.3,5672.7,4911.8,4947.2,4835.3,4564.1,4368.0,4489.6,4615.5,4407.1,4134.0,3756.3,3259.7,2808.7
河北省,16129.6,16355.8,13765.1,13393.7,12904.1,12778.0,12332.3,11519.5,11476.9,11178.4,10919.7,10275.5,8470.5,7164.4
山西省,13848.5,11578.1,7703.2,7466.3,7074.5,6635.3,5113.6,5219.7,6378.0,6684.3,6852.7,6750.2,5349.6,4091.2
内蒙古自治区,11352.5,9880.6,6908.2,6763.1,6335.4,5874.3,5579.8,5269.5,5114.4,4870.1,4553.6,4044.0,3420.5,2916.0
辽宁省,11363.6,10883.3,9357.5,9475.9,9049.0,8328.9,7865.7,8344.6,9038.8,9204.2,8886.9,8478.7,7181.8,6539.3
吉林省,4370.2,4768.3,4319.9,4134.8,4051.5,3995.5,3901.4,3837.8,3804.9,3572.1,3315.2,2931.4,2485.8,2055.1
黑龙江省,4576.7,4086.5,3449.9,3640.1,3536.0,3519.5,3689.7,3926.9,4872.4,5202.7,5099.8,4916.3,4146.1,3668.1
上海市,11407.2,11366.7,10258.6,10193.6,10360.8,9525.9,8570.2,8408.7,8633.3,8286.5,8174.1,8169.3,7434.9,6184.8
江苏省,54886.1,52678.7,44631.3,43507.5,42129.4,39124.1,35041.5,33371.8,31048.8,29149.4,27150.8,25231.2,21853.6,18667.2
浙江省,32973.8,31174.0,26361.5,26299.5,25308.1,23246.7,21571.3,20606.6,19580.7,18162.8,17040.5,16271.0,14140.9,11882.4
安徽省,17946.8,17240.1,15216.5,14970.0,14094.4,12681.2,11517.5,10838.3,10982.6,10233.4,9247.9,8189.1,6396.0,4918.7
福建省,23125.3,23319.8,20168.4,20065.5,18847.8,16290.0,14683.7,13735.7,13165.1,11805.5,10527.0,9316.6,7705.3,6129.1
江西省,13483.0,13230.7,11107.9,10820.3,10081.2,9444.6,8732.5,8367.7,8238.7,7661.9,6893.3,6338.0,5083.1,3882.7
山东省,34562.3,32834.5,28456.7,28171.8,27523.7,26925.6,25565.0,24814.9,23588.0,22615.9,21275.9,19926.1,17733.1,15919.7
河南省,22140.6,23566.4,22220.9,23035.6,22038.6,20940.3,18986.9,17947.9,17139.6,15995.4,15042.6,14021.6,12173.5,10324.6
湖北省,19793.7,19332.1,15933.8,18723.0,17573.9,15713.9,14527.0,13569.5,13007.9,11846.3,11152.6,9766.1,7748.3,6035.5
湖南省,17899.8,17852.5,15949.2,15401.7,13904.1,13459.8,12942.0,12665.7,11825.1,10913.8,9926.7,8883.6,7034.7,5494.7
广东省,52620.7,50555.8,43868.1,43368.2,41398.5,38536.6,35499.2,33913.8,31930.4,29343.0,27346.1,26161.1,22917.4,19439.7
广西壮族自治区,8819.3,8513.9,7046.8,7046.4,6692.9,6138.3,5621.0,5391.0,5145.6,4709.3,4503.1,4241.2,3465.2,2715.3
海南省,1308.7,1240.8,1072.2,1083.8,1053.1,996.4,904.0,882.9,826.5,750.9,747.2,671.3,528.6,432.4
重庆市,11047.4,11217.3,9969.6,9392.0,8842.2,8455.0,7765.4,7208.0,6774.6,5988.6,5308.1,4571.3,3624.1,3016.8
四川省,20591.4,19949.7,17505.6,17187.9,16056.9,14569.2,13450.1,13192.5,13082.7,12418.9,11231.1,10014.4,8283.2,6653.2
贵州省,7052.7,6850.5,6263.0,5971.5,5506.2,4970.9,4468.7,4026.7,3582.4,3171.0,2716.8,2258.9,1820.7,1574.9
云南省,10120.3,9537.2,8387.5,8060.4,7267.5,6317.8,5747.4,5491.7,5376.5,5000.5,4458.4,3811.4,3267.7,2605.4
西藏自治区,787.1,757.3,714.9,635.6,582.7,469.6,390.4,341.8,310.3,270.8,226.1,195.6,155.0,130.1
陕西省,15937.2,14019.0,11222.0,11779.5,11215.3,10114.1,8906.5,8664.6,9045.0,8418.0,7612.3,6484.3,5071.5,4017.5
甘肃省,3928.3,3451.2,2824.8,2862.4,2761.6,2515.8,2483.5,2505.4,2823.3,2674.0,2493.3,2288.6,1910.4,1473.2
青海省,1591.0,1364.7,1143.2,1153.9,1093.7,975.7,867.7,761.1,714.8,681.0,620.2,553.1,444.2,365.7
宁夏回族自治区,2439.1,2099.2,1629.3,1587.1,1488.1,1406.0,1179.7,1116.8,1113.7,1059.5,992.5,919.8,733.4,593.0
新疆维吾尔自治区,7412.3,6295.9,4786.7,4784.4,4657.2,4096.2,3446.1,3446.1,3829.3,3479.9,3325.9,3093.4,2479.8,1846.0
数据来源：国家统计局
