数据库：分省年度数据
指标：森林覆盖率(%)
时间：2009-2022
地区,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
北京市,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,35.8,35.8,35.8,35.8,35.8
天津市,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,9.9,9.9,9.9,9.9,9.9
河北省,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,23.4,23.4,23.4,23.4,23.4
山西省,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,18.0,18.0,18.0,18.0,18.0
内蒙古自治区,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,21.0,21.0,21.0,21.0,21.0
辽宁省,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,38.2,38.2,38.2,38.2,38.2
吉林省,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,40.4,40.4,40.4,40.4,40.4
黑龙江省,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.2,43.2,43.2,43.2,43.2
上海市,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,10.7,10.7,10.7,10.7,10.7
江苏省,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.8,15.8,15.8,15.8,15.8
浙江省,59.4,59.4,59.4,59.4,59.4,59.4,59.4,59.4,59.4,59.1,59.1,59.1,59.1,59.1
安徽省,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,27.5,27.5,27.5,27.5,27.5
福建省,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.0,66.0,66.0,66.0,66.0
江西省,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,60.0,60.0,60.0,60.0,60.0
山东省,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.7,16.7,16.7,16.7,16.7
河南省,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,21.5,21.5,21.5,21.5,21.5
湖北省,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,38.4,38.4,38.4,38.4,38.4
湖南省,49.7,49.7,49.7,49.7,49.7,49.7,49.7,49.7,49.7,47.8,47.8,47.8,47.8,47.8
广东省,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,51.3,51.3,51.3,51.3,51.3
广西壮族自治区,60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.2,56.5,56.5,56.5,56.5,56.5
海南省,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,55.4,55.4,55.4,55.4,55.4
重庆市,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,38.4,38.4,38.4,38.4,38.4
四川省,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,35.2,35.2,35.2,35.2,35.2
贵州省,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,37.1,37.1,37.1,37.1,37.1
云南省,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,50.0,50.0,50.0,50.0,50.0
西藏自治区,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.0,12.0,12.0,12.0,12.0
陕西省,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,41.4,41.4,41.4,41.4,41.4
甘肃省,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3
青海省,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.6,5.6,5.6,5.6,5.6
宁夏回族自治区,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,11.9,11.9,11.9,11.9,11.9
新疆维吾尔自治区,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.2,4.2,4.2,4.2,4.2
注：1.数据分别为第七次全国森林资源清查(2004-2008)、第八次全国森林资源清查(2009-2013)、第九次全国森林资源清查(2014-2018)资料。
　　　2.全国总计数包括台湾省和香港、澳门特别行政区数据。
数据来源：国家统计局
