数据库：分省年度数据
指标：经营单位所在地进出口总额(千美元)
时间：2009-2022
地区,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
北京市,546090000,470990000,336478080,416456752,412487938,324017423,282348960,319440570,415518593,428995812,408107320,389555977,301721548,214733053
天津市,124610000,132570000,106321816,106645671,122557291,112919165,102655947,114282803,133886075,128501788,115634270,103376166,82100050,63831234
河北省,82390000,83850000,64470226,58043282,53900873,49855543,46675380,51513748,59877359,54911571,50563060,53600835,42060370,29627252
山西省,27510000,34530000,21842015,20981625,20762372,17186875,16661411,14681315,16232813,15790979,15043110,14743057,12576225,8569032
内蒙古自治区,22530000,19140000,15222701,15939467,15690267,13873523,11640301,12731151,14556321,11994572,11258980,11930904,8729741,6774066
辽宁省,118660000,119460000,94828320,105320038,114601136,99595084,86556895,95947125,113998255,114478189,104090000,96035851,80712148,62934378
吉林省,23390000,23260000,18526325,18904123,20679164,18542971,18452886,18877390,26380786,25831735,24563010,22060930,16845182,11742407
黑龙江省,39690000,30850000,22230921,27108645,26437359,18951195,16539178,21012034,38900926,38879095,37590290,38522675,25515415,16229513
上海市,625810000,628520000,503831363,493905026,515679700,476196649,433768191,449240723,466399838,441268216,436586950,437548615,368950652,277713611
江苏省,814310000,806470000,642831839,629515934,663913736,590778136,509296406,545560447,563553079,550802269,547961490,539580894,465798959,338739703
浙江省,703300000,640930000,488542806,447224509,432360099,377907471,336575909,346783826,355039765,335788705,312401360,309377765,253534656,187730863
安徽省,113090000,107000000,78704041,68730324,62840317,54021626,44412861,47844532,49177300,45518969,39284540,31309246,24273372,15677726
福建省,297390000,285250000,203580822,193111151,187407290,171020040,156826190,168845931,177407841,169320901,155937960,143522428,108783289,79649592
江西省,99380000,77020000,58025836,50889783,48187584,44338984,40028407,42399604,42730822,36746634,33413830,31468810,21619177,12778782
山东省,482860000,453870000,320210390,296995532,292397074,264550956,234355852,240607798,276929398,266531533,245544320,235886076,189156292,139053369
河南省,127110000,127010000,97266709,82498953,82813633,77630090,71213099,73780562,64972209,59956868,51738810,32622578,17831514,13476415
湖北省,92100000,83080000,62245676,57160602,52781547,46337190,39388773,45552580,43039619,36380076,31963750,33586935,25932110,17251015
湖南省,105090000,92400000,70684462,62849835,46474201,36033297,26243470,29301801,30831603,25175308,21948730,18943763,14656390,10149466
广东省,1245500000,1279570000,1024024456,1036626724,1084464573,1006678374,955298007,1022495683,1076584474,1091581437,984020460,913467331,784896124,611094049
广西壮族自治区,96000000,91720000,70414050,68221637,62302266,57878659,47627431,51090547,40548851,32827499,29484460,23355966,17738906,14254726
海南省,30020000,22750000,13586831,13152748,12733530,10374055,11348430,13966965,15862660,14985434,14322100,12756036,8648577,4881633
重庆市,122000000,123820000,94181104,83949585,79016913,66601107,62753637,74466845,95431578,68692163,53203580,29207634,12427074,7712521
四川省,150690000,147430000,116898171,98400662,89921137,68106058,49306252,51188560,70202970,64574658,59143600,47724169,32693864,24168651
贵州省,10850000,10130000,7910689,6568169,7602857,8162313,5699617,12221418,10771326,8290101,6631560,4887579,3146801,2304212
云南省,48570000,48680000,39128383,33692437,29857965,23451109,19902360,24491279,29607422,25303558,21013730,16028773,13430120,8047595
西藏自治区,690000,620000,310532,702863,723178,863450,781922,913839,2254947,3319409,3424140,1358368,836067,402098
陕西省,71480000,73560000,54595811,51033133,53304882,40202798,29947223,30498504,27364485,20128062,14799030,14647271,12101681,8405392
甘肃省,8580000,7610000,5529729,5520088,6013027,4826333,6832980,7952016,8640615,10236106,8900750,8728579,7402953,3865554
青海省,610000,490000,332800,544815,727175,655751,1529204,1934472,1717888,1402742,1157470,923817,788961,586785
宁夏回族自治区,3220000,3320000,1782446,3489611,3776564,5039517,3252489,3739255,5435212,3217686,2216710,2285746,1959989,1202479
新疆维吾尔自治区,36600000,24300000,21373811,23707348,19999747,20568530,17637744,19669397,27672315,27561391,25170060,22819672,17130110,13947831
注：进出口数据来源于海关总署。1978年为外贸业务统计数，1980年起为海关进出口统计数。
数据来源：国家统计局
