数据库：分省年度数据
指标：二氧化硫排放量(万吨)
时间：2009-2022
地区,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
北京市,0.11,0.14,0.18,0.19,0.27,0.65,1.50,7.12,7.89,8.70,9.38,9.79,11.51,11.88
天津市,0.65,0.85,1.02,1.78,1.90,2.51,2.67,18.59,20.92,21.68,22.45,23.09,23.52,23.67
河北省,14.62,17.07,16.17,28.69,34.32,43.31,55.18,110.84,118.99,128.47,134.12,141.21,123.38,125.35
山西省,12.85,14.70,16.05,22.86,28.19,34.12,49.59,112.06,120.82,125.54,130.18,139.91,124.92,126.84
内蒙古自治区,20.27,22.48,27.39,35.24,36.33,37.81,56.95,123.09,131.24,135.87,138.49,140.94,139.41,139.88
辽宁省,13.05,16.33,20.64,26.31,32.12,34.90,41.12,96.88,99.46,102.70,105.87,112.62,102.22,105.14
吉林省,5.51,6.23,6.84,9.84,8.96,12.27,14.40,36.29,37.23,38.15,40.35,41.32,35.63,36.30
黑龙江省,10.26,11.03,14.32,13.49,14.61,18.37,21.86,45.63,47.22,48.91,51.43,52.19,49.02,49.04
上海市,0.67,0.58,0.54,0.75,1.11,1.38,6.50,17.08,18.81,21.58,22.82,24.01,35.81,37.89
江苏省,7.48,8.86,11.26,28.46,31.68,38.32,57.80,83.51,90.47,94.17,99.20,105.38,105.05,107.42
浙江省,4.06,4.33,5.15,7.78,8.69,11.18,13.33,53.78,57.40,59.34,62.58,66.20,67.83,70.13
安徽省,7.11,8.55,10.86,15.10,16.27,19.54,27.20,48.01,49.30,50.13,51.96,52.95,53.21,53.84
福建省,6.00,6.51,7.88,12.54,10.85,11.95,24.16,33.79,35.60,36.10,37.13,38.92,40.91,41.97
江西省,7.60,8.75,10.25,22.71,24.94,31.72,45.81,52.81,53.44,55.77,56.77,58.41,55.71,56.42
山东省,14.59,16.53,19.33,28.15,34.13,41.63,72.98,152.57,159.02,164.50,174.88,182.74,153.78,159.03
河南省,5.89,6.00,6.68,10.44,12.27,13.98,38.65,114.43,119.82,125.40,127.59,137.05,133.87,135.50
湖北省,8.50,9.21,9.72,11.68,12.08,17.37,21.78,55.14,58.38,59.94,62.24,66.56,63.26,64.38
湖南省,6.96,8.49,10.24,19.13,22.94,27.59,30.92,59.55,62.37,64.13,64.50,68.55,80.13,81.15
广东省,8.82,9.79,11.69,12.04,15.10,18.73,25.56,67.83,73.01,76.19,79.92,84.77,105.05,107.05
广西壮族自治区,6.16,7.43,8.78,9.51,10.06,10.52,13.79,42.12,46.66,47.20,50.41,52.10,90.38,89.05
海南省,0.36,0.43,0.59,0.69,0.81,0.97,1.34,3.23,3.26,3.24,3.41,3.26,2.88,2.20
重庆市,4.59,5.06,6.75,7.50,9.17,12.24,12.93,49.58,52.69,54.77,56.48,58.69,71.94,74.61
四川省,12.22,13.58,16.31,18.82,19.17,22.32,30.79,71.76,79.64,81.67,86.44,90.20,113.10,113.53
贵州省,12.25,14.31,17.74,23.37,32.55,35.89,35.37,85.30,92.58,98.64,104.11,110.43,114.88,117.55
云南省,18.46,17.31,17.66,23.58,24.74,26.01,45.17,58.37,63.67,66.31,67.22,69.12,50.07,49.93
西藏自治区,0.27,0.22,0.57,0.34,0.36,0.30,0.35,0.54,0.42,0.42,0.42,0.42,0.39,0.17
陕西省,6.72,8.11,9.37,14.33,14.72,18.58,25.02,73.50,78.10,80.62,84.38,91.68,77.86,80.44
甘肃省,7.67,8.47,8.58,11.29,12.55,13.13,15.67,57.06,57.56,56.20,57.25,62.39,55.18,50.03
青海省,4.10,4.08,4.01,4.32,4.65,5.03,5.62,15.08,15.43,15.67,15.39,15.66,14.34,13.57
宁夏回族自治区,5.48,6.03,7.16,12.50,13.06,14.81,19.65,35.76,37.71,38.97,40.66,41.04,31.08,31.42
新疆维吾尔自治区,10.20,13.33,14.48,23.86,27.51,33.69,41.24,77.83,85.30,82.94,79.61,76.31,58.85,58.99
数据来源：国家统计局
