数据库：分省年度数据
指标：化学需氧量排放量(万吨)
时间：2009-2022
地区,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
北京市,4.45,4.87,5.36,4.25,4.58,3.99,6.29,16.15,16.88,17.85,18.65,19.32,9.20,9.90
天津市,15.20,15.52,15.63,3.78,4.17,4.43,4.80,20.91,21.43,22.15,22.94,23.58,13.20,13.30
河北省,152.78,153.53,127.42,22.38,23.81,27.61,25.24,120.81,126.85,130.99,134.91,138.88,54.60,57.00
山西省,68.14,61.61,61.98,10.92,11.28,11.46,13.22,40.51,44.13,46.13,47.68,48.96,33.30,34.40
内蒙古自治区,79.14,76.71,70.88,5.89,6.59,7.41,10.28,83.56,84.77,86.32,88.39,91.90,27.50,27.90
辽宁省,121.45,119.86,124.75,13.11,13.46,16.30,16.67,116.75,121.70,125.26,130.59,134.34,54.20,56.30
吉林省,88.71,76.32,56.25,7.65,8.06,7.89,8.03,72.42,74.30,76.12,78.75,82.47,35.20,36.10
黑龙江省,85.65,85.14,149.17,15.87,15.53,16.55,19.79,139.27,142.39,144.73,149.88,157.65,44.40,46.20
上海市,7.75,7.51,7.29,5.56,6.21,6.52,7.88,19.88,22.44,23.56,24.26,24.90,22.00,24.30
江苏省,124.01,119.49,120.78,47.41,48.80,53.03,57.85,105.46,110.00,114.89,119.70,124.62,78.80,82.20
浙江省,46.75,49.87,53.22,20.62,21.75,23.28,27.76,68.32,72.54,75.51,78.62,81.83,48.70,51.40
安徽省,127.07,120.04,118.60,34.19,34.61,32.39,33.84,87.11,88.56,90.27,92.43,95.33,41.10,42.40
福建省,55.22,55.69,62.30,25.16,26.52,26.07,28.88,60.94,62.98,63.90,66.00,67.94,37.30,37.60
江西省,107.62,109.57,101.48,32.22,31.68,31.95,37.84,71.56,72.01,73.45,74.83,76.79,43.10,43.50
山东省,151.10,156.28,153.48,27.57,29.20,31.69,33.80,175.76,178.04,184.57,192.12,198.25,62.10,64.70
河南省,184.80,151.85,144.57,25.19,27.00,28.85,31.38,128.72,131.87,135.42,139.36,143.67,62.00,62.60
湖北省,154.08,156.75,153.03,26.76,29.04,31.11,31.69,98.61,103.31,105.82,108.66,110.47,57.20,57.60
湖南省,153.49,151.82,147.64,31.22,30.70,30.89,35.18,120.77,122.90,124.90,126.34,130.52,79.80,84.80
广东省,161.85,158.08,161.31,63.48,64.43,67.48,65.03,160.69,167.06,173.39,180.29,188.45,85.80,91.10
广西壮族自治区,93.44,95.82,103.04,32.73,32.17,32.64,30.55,71.12,74.40,75.94,78.03,79.33,93.70,97.60
海南省,18.42,17.17,17.28,4.49,4.95,5.15,4.90,18.79,19.60,19.44,19.74,19.99,9.20,10.00
重庆市,32.57,33.82,32.06,5.15,5.36,5.57,6.49,37.98,38.64,39.18,40.28,41.68,23.50,24.00
四川省,124.10,135.82,130.46,32.94,32.63,32.56,33.89,118.64,121.63,123.20,126.87,130.23,74.10,74.80
贵州省,117.95,118.35,116.78,12.42,12.21,12.12,12.09,31.83,32.67,32.82,33.30,34.22,20.80,21.60
云南省,65.88,69.43,68.60,11.06,10.77,11.24,15.35,51.03,53.38,54.72,54.86,55.47,26.80,27.30
西藏自治区,13.18,13.71,53.05,1.82,1.76,1.87,2.08,2.88,2.79,2.58,2.58,2.68,2.90,1.50
陕西省,45.34,50.74,48.88,9.84,10.32,11.29,11.67,48.91,50.49,51.93,53.62,55.77,30.80,31.80
甘肃省,71.88,66.13,59.54,5.95,6.73,7.22,8.21,36.57,37.32,37.91,38.93,39.66,16.80,16.80
青海省,10.10,7.94,8.57,1.97,2.20,2.02,2.91,10.43,10.50,10.34,10.38,10.32,8.30,7.60
宁夏回族自治区,25.87,24.50,22.03,9.01,9.18,8.69,10.14,21.10,21.98,22.19,22.80,23.37,12.20,12.50
新疆维吾尔自治区,69.63,66.98,69.34,16.54,18.53,19.60,24.37,66.03,67.02,67.24,67.92,67.29,29.60,28.70
数据来源：国家统计局
